   DATE         TIME     LAT.   LONG.  DEPTH    MAGNITUDE            
                   (GMT)    (N)    (E)    (km)       (Local)
 2017 JAN  9   00 21 07.0 40.5708 23.3378   10         1.3
 2017 JAN  9   00 48 53.0 39.3540 20.6160    9         1.7
 2017 JAN  9   01 06 04.0 38.7140 22.6425    8         2.0
 2017 JAN  9   01 27 35.0 38.3480 21.7052    5         2.7
 2017 JAN  9   02 58 27.0 37.6362 21.5195   17         1.5
 2017 JAN  9   03 07 21.0 37.6923 21.7830   15         1.6
 2017 JAN  9   05 26 33.0 39.5102 20.5127   12         1.9
 2017 JAN  9   06 43 35.0 38.5087 21.5767    9         1.6
 2017 JAN  9   07 00 27.0 38.3508 21.7085    6         2.9
 2017 JAN  9   07 06 50.0 38.4448 23.3708   18         1.5
 2017 JAN  9   07 55 09.0 38.2098 20.8087   16         2.4
 2017 JAN  9   08 25 02.0 38.3413 21.7195   10         2.4
 2017 JAN  9   09 00 02.0 38.4005 22.0320   14         1.2
 2017 JAN  9   09 53 16.0 38.3368 21.7187    3         4.5
 2017 JAN  9   10 03 11.0 38.3385 21.7155   16         3.1
 2017 JAN  9   10 03 18.0 37.5688 23.5663   16         2.4
 2017 JAN  9   10 06 57.0 38.3137 21.6982   10         2.0
 2017 JAN  9   10 23 32.0 38.3480 21.7198   10         3.4
 2017 JAN  9   10 27 29.0 38.3565 21.7218    9         2.4
 2017 JAN  9   10 47 19.0 37.6570 23.8972   11         1.4
 2017 JAN  9   11 45 01.0 38.3317 21.7240   15         1.5
 2017 JAN  9   11 51 43.0 38.3393 21.7308   11         2.0
 2017 JAN  9   11 59 44.0 38.3338 21.7317    9         1.7
 2017 JAN  9   12 28 57.0 38.3437 21.7357   16         1.5
 2017 JAN  9   12 40 31.0 38.3162 21.7018   10         1.8
 2017 JAN  9   12 57 40.0 38.3593 21.7518   15         1.4
 2017 JAN  9   13 11 44.0 38.3550 21.7153   14         1.5
 2017 JAN  9   14 07 41.0 38.3487 21.7253   16         1.4
 2017 JAN  9   14 44 52.0 38.3523 21.7410   13         1.7
 2017 JAN  9   14 55 17.0 38.3222 21.7038   12         1.8
 2017 JAN  9   15 05 52.0 38.3388 21.7148   17         1.7
 2017 JAN  9   15 19 52.0 39.2107 22.3215    5         2.0
 2017 JAN  9   15 35 55.0 38.3292 21.7120   10         1.8
 2017 JAN  9   16 30 28.0 38.3380 21.7362   12         1.7
 2017 JAN  9   16 36 20.0 38.3640 21.7458   15         1.3
 2017 JAN  9   16 53 13.0 38.3333 21.7213    8         2.2
 2017 JAN  9   17 09 51.0 37.6293 21.5150   13         2.1
 2017 JAN  9   17 40 58.0 38.3317 21.7363    8         1.8
 2017 JAN  9   17 42 20.0 40.4972 21.2492   14         1.6
