      DATE         TIME     LAT.   LONG.  DEPTH    MAGNITUDE            
                   (GMT)    (N)    (E)    (km)       (Local)
 2020 JAN  6   18 41 55.7 38.3089 23.7987   12         2.5
 2020 JAN  6   18 46 33.9 38.7300 20.5147   13         2.4
 2020 JAN  6   20 11 39.4 38.9745 21.8568   22         1.5
 2020 JAN  6   20 22 55.5 37.3196 21.9699   24         2.3
 2020 JAN  6   21 23 35.8 37.7408 20.2579    7         2.4
 2020 JAN  6   21 43 32.2 37.3407 20.5133   17         2.6
 2020 JAN  6   22 55 51.8 37.4753 20.6186    8         4.2
 2020 JAN  6   23 13 32.4 39.4016 22.9129   20         3.0
 2020 JAN  6   23 25 04.9 37.4460 20.6204    8         3.5
 2020 JAN  6   23 44 12.4 37.4973 20.6131   15         2.5
 2020 JAN  6   23 45 16.9 37.5467 20.9830   34         2.8
 2020 JAN  7   01 09 26.3 38.5487 21.8156   16         1.6
 2020 JAN  7   01 44 03.1 37.7065 21.4293   27         1.9
 2020 JAN  7   02 34 10.8 37.6987 20.8017   14         1.9
 2020 JAN  7   02 53 29.0 37.5009 20.6277   21         3.0
 2020 JAN  7   02 57 42.5 37.4881 20.6314   14         2.7
 2020 JAN  7   03 37 08.2 37.5357 20.6186   20         2.2
 2020 JAN  7   03 59 21.7 37.4698 20.6168   15         2.4
 2020 JAN  7   05 05 25.8 37.3553 20.5573    8         2.5
 2020 JAN  7   05 11 13.2 39.2413 20.5829    5         1.8
 2020 JAN  7   05 50 05.3 36.8271 21.3547   14         2.4
 2020 JAN  7   10 12 16.9 38.6440 21.9978   13         1.7
 2020 JAN  7   12 59 59.7 37.4112 20.3879   15         2.3
 2020 JAN  7   14 00 51.6 38.3849 22.3027   11         1.7
 2020 JAN  7   14 21 08.0 37.5247 20.6351   14         2.4
 2020 JAN  7   14 40 46.9 37.4442 20.6387   15         2.8
 2020 JAN  7   14 41 30.2 37.4570 20.6314   15         3.1
 2020 JAN  7   14 56 21.4 39.2075 20.8218   26         2.9
 2020 JAN  7   15 08 54.0 37.5128 20.6415   17         2.2
 2020 JAN  7   15 28 53.1 38.7259 20.6259   10         2.1
 2020 JAN  7   15 31 43.0 37.5027 20.6662   17         2.9
 2020 JAN  7   15 40 36.8 37.5302 20.6296   17         1.9
 2020 JAN  7   16 13 24.3 37.5504 20.6479   17         2.5
 2020 JAN  7   20 26 40.2 37.5146 20.6396   15         2.5
 2020 JAN  7   22 29 08.9 38.4082 21.8262   16         1.8
 2020 JAN  7   23 31 16.2 37.5357 20.7999   20         2.5
 2020 JAN  8   01 40 45.9 39.0120 22.3018   15         1.5
 2020 JAN  8   02 32 42.3 39.2752 22.6968   26         1.7
 2020 JAN  8   02 33 11.9 38.1354 20.4474   17         0.9
 2020 JAN  8   06 03 49.9 37.5357 20.7303    6         1.9
 2020 JAN  8   07 00 20.4 41.3910 22.3956    7         2.6
 2020 JAN  8   07 15 07.5 41.7572 22.3846    7         2.4
 2020 JAN  8   07 42 48.4 37.3270 20.6369   10         2.3
 2020 JAN  8   08 51 45.8 36.9571 22.7298    8         2.6
 2020 JAN  8   09 20 47.9 38.1381 23.5245    6         1.6
 2020 JAN  8   13 30 25.8 38.3986 21.9914   11         3.1
 2020 JAN  8   14 16 17.9 37.7669 20.7674   15         2.3
 2020 JAN  8   14 23 45.8 38.2375 22.5316    8         2.1
 2020 JAN  8   16 26 40.1 37.6859 21.2759   34         1.6
 2020 JAN  8   17 04 58.2 37.5064 20.6058   13         2.4
 2020 JAN  8   17 14 41.3 37.5568 20.6635   18         1.8
 2020 JAN  8   18 50 34.1 38.0942 23.5867   11         0.8
 2020 JAN  8   19 42 47.5 38.3762 21.8619   16         1.2
 2020 JAN  8   23 57 28.6 35.0876 24.6341   32         2.8
 2020 JAN  9   00 08 57.3 37.8543 21.7337   26         2.0
