 DATE         TIME     LAT.   LONG.  DEPTH    MAGNITUDE            
                   (GMT)    (N)    (E)    (km)       (Local)
 2019 JAN  6   10 39 01.0 37.3780 20.7787   10         3.0
 2019 JAN  6   12 32 58.4 41.1528 23.1770   11         1.5
 2019 JAN  6   12 56 17.4 39.2517 23.3518   10         1.6
 2019 JAN  6   13 04 59.5 38.2418 21.4835   17         2.2
 2019 JAN  6   13 42 12.0 38.7222 20.5893   12         1.5
 2019 JAN  6   14 21 26.3 39.5170 24.2933   16         1.6
 2019 JAN  6   14 33 19.5 39.2425 23.3712   10         1.9
 2019 JAN  6   14 42 04.2 39.2107 23.3377    9         1.8
 2019 JAN  6   15 11 56.4 39.2527 23.3535   12         2.6
 2019 JAN  6   15 41 01.1 37.5975 20.8060    9         2.5
 2019 JAN  6   15 56 44.2 39.2375 23.3175   10         2.5
 2019 JAN  6   19 14 25.4 34.9490 23.8287   31         2.7
 2019 JAN  6   21 21 21.2 37.6292 20.3882    6         3.2
 2019 JAN  6   21 32 42.7 37.6420 20.3352    7         2.7
 2019 JAN  6   22 19 44.2 37.1477 20.6033   10         2.9
 2019 JAN  6   22 51 27.0 37.4737 20.5372   10         2.5
 2019 JAN  6   22 58 23.9 38.5513 21.9405   17         2.4
 2019 JAN  6   23 12 10.4 38.3402 25.3332   17         2.2
 2019 JAN  7   00 18 49.8 37.6163 20.6248    9         2.1
 2019 JAN  7   00 36 00.7 37.3582 20.7942   13         2.2
 2019 JAN  7   00 44 15.3 38.2202 21.4738   24         2.2
 2019 JAN  7   01 11 44.3 37.5843 20.7305   12         2.4
 2019 JAN  7   02 28 11.2 35.9132 24.6432   62         2.4
 2019 JAN  7   02 41 52.6 38.3212 25.3372   20         2.0
 2019 JAN  7   02 41 56.9 37.5210 20.7152   10         1.9
 2019 JAN  7   02 48 49.2 37.6283 20.6730   15         2.2
 2019 JAN  7   02 59 06.8 37.3942 20.7443   10         2.4
 2019 JAN  7   05 26 28.0 37.6347 20.3668   13         2.5
 2019 JAN  7   05 30 05.6 37.6733 20.7193    7         2.3
 2019 JAN  7   05 54 43.6 39.3003 24.7347   15         2.5
 2019 JAN  7   06 06 26.7 37.6552 20.3520   14         3.3
 2019 JAN  7   06 40 22.3 37.5583 20.6993   16         2.6
 2019 JAN  7   06 49 38.2 37.5177 20.6545   13         2.6
 2019 JAN  7   09 15 54.5 37.2797 20.6832   11         2.7
 2019 JAN  7   10 01 45.5 34.6117 23.6877   33         2.6
 2019 JAN  7   10 06 52.1 37.3792 20.8193   24         3.9
 2019 JAN  7   10 26 47.0 37.3467 20.7763   15         2.9
 2019 JAN  7   12 17 16.2 40.5250 22.4922    8         2.6
 2019 JAN  7   12 17 21.2 37.5575 20.4103   28         2.3
 2019 JAN  7   12 26 53.6 37.6346 20.3311   14         2.7
 2019 JAN  7   13 11 03.5 37.6502 20.3848   12         2.8
 2019 JAN  7   13 35 42.1 35.5773 23.4655   14         3.6
 2019 JAN  7   13 41 32.3 35.6043 23.4965   16         3.7
 2019 JAN  7   13 48 40.7 37.3767 20.7715    8         2.2
 2019 JAN  7   14 02 16.0 37.4328 20.4325   11         2.7
 2019 JAN  7   14 40 13.2 37.3655 20.6157   13         3.4
 2019 JAN  7   15 18 58.3 37.8474 22.5526   13         1.9
 2019 JAN  7   15 35 52.9 40.5904 24.3150    8         1.6
 2019 JAN  7   15 42 15.8 36.6900 21.4627   27         3.0
 2019 JAN  7   15 55 34.6 37.3418 20.7515   14         2.8
 2019 JAN  7   16 10 47.7 37.3553 20.5133   10         2.5
 2019 JAN  7   17 34 40.8 37.3672 20.5833   13         2.7
 2019 JAN  7   17 58 54.2 37.1570 20.6185   13         3.0
 2019 JAN  7   18 10 33.7 37.6187 20.3302   11         2.9
 2019 JAN  7   18 18 49.2 37.4020 20.5697   13         2.6
 2019 JAN  7   19 09 12.8 37.6333 20.3715    9         2.3
 2019 JAN  7   19 13 03.5 38.3733 22.2135   13         1.5
 2019 JAN  7   19 53 38.9 38.8170 25.9270    8         2.2
 2019 JAN  7   19 57 13.7 37.3263 20.5988    9         3.0
 2019 JAN  7   20 13 42.5 37.5943 20.4501   16         2.4
 2019 JAN  7   20 39 23.9 35.5783 23.4363   13         2.9
 2019 JAN  7   20 58 36.3 37.6595 20.5318   12         2.3
 2019 JAN  7   21 29 27.3 40.4942 22.4977    9         2.0
 2019 JAN  7   22 11 30.6 37.6288 20.3410   14         2.2
 2019 JAN  7   22 26 30.6 37.5398 20.7213   12         2.3
 2019 JAN  7   23 10 54.6 38.4850 26.8147   14         3.3
 2019 JAN  7   23 45 09.1 38.0640 23.7450   13         1.9
 2019 JAN  8   00 04 29.1 37.2408 20.5430   12         2.3
 2019 JAN  8   00 46 23.0 37.6333 20.3762   12         2.0
 2019 JAN  8   01 24 21.6 36.9865 26.7328   16         3.2
 2019 JAN  8   01 43 14.8 37.5965 20.8033    8         2.5
 2019 JAN  8   02 01 34.1 37.6363 20.3593   11         2.1
 2019 JAN  8   02 16 05.5 37.4402 20.5995   12         2.7
 2019 JAN  8   02 45 10.7 37.5300 20.6772   10         2.5
 2019 JAN  8   02 52 33.4 37.3843 20.3860    6         3.0
 2019 JAN  8   03 25 34.8 37.2883 20.6295   12         2.4
 2019 JAN  8   04 35 41.0 37.3827 20.8033   17         2.7
 2019 JAN  8   05 07 34.0 37.3495 20.8170   17         2.4
 2019 JAN  8   05 33 01.7 39.4782 22.9432   10         2.5
 2019 JAN  8   06 09 12.2 37.6283 20.6695   12         2.5
 2019 JAN  8   06 14 00.2 37.3940 20.7960   16         2.5
 2019 JAN  8   06 33 35.1 37.5237 20.4495    9         2.4
 2019 JAN  8   06 56 06.7 37.6847 20.8988   17         2.5
 2019 JAN  8   07 06 08.6 36.0143 25.9417   17         3.9
 2019 JAN  8   07 48 31.4 36.0170 25.9682   16         2.9
 2019 JAN  8   09 10 58.7 37.3298 20.8528   13         2.2
 2019 JAN  8   11 06 07.8 37.4522 20.5248   10         3.2
 2019 JAN  8   11 15 21.6 37.3680 20.8477   15         3.3
 2019 JAN  8   12 03 41.3 37.3353 20.4905    9         2.4
 2019 JAN  8   12 58 43.8 37.8612 22.5677   12         1.5
 2019 JAN  8   13 20 26.7 37.2905 20.8270   14         2.5
 2019 JAN  8   13 25 12.8 37.3562 20.8148   13         2.6
 2019 JAN  8   14 31 26.2 37.6642 20.8933   15         2.2
 2019 JAN  8   14 41 57.2 40.0500 24.0892   14         2.6
 2019 JAN  8   16 39 30.1 37.6688 20.6882   15         2.6
 2019 JAN  8   16 42 24.1 37.5590 20.4247   10         2.6
 2019 JAN  8   16 55 32.4 37.6257 20.3540    9         2.6
 2019 JAN  8   16 58 01.9 37.3717 20.7597    7         3.5
 2019 JAN  8   17 07 33.2 37.4067 20.7957   14         2.3
 2019 JAN  8   17 20 49.7 37.5425 20.6620   11         2.1
 2019 JAN  8   17 51 29.4 37.6628 20.6695   14         2.9
