   DATE         TIME     LAT.   LONG.  DEPTH    MAGNITUDE            
                   (GMT)    (N)    (E)    (km)       (Local)           
 2018 JAN  6   21 01 16.0 38.1155 21.6438   24         1.4
 2018 JAN  6   21 04 29.4 40.1800 26.1777   11         1.6
 2018 JAN  6   21 21 07.7 39.3885 21.4333    9         1.8
 2018 JAN  6   21 31 40.7 36.2338 23.5666   35         2.3
 2018 JAN  6   22 28 01.0 38.1275 21.6318   22         1.3
 2018 JAN  6   23 14 04.9 38.3102 21.7598   11         1.0
 2018 JAN  7   00 24 49.7 38.2055 23.4690   10         1.2
 2018 JAN  7   00 55 25.5 40.3393 24.0492   10         2.1
 2018 JAN  7   03 14 34.1 37.9100 20.8642   13         1.2
 2018 JAN  7   03 41 44.5 38.1328 21.6085    9         2.3
 2018 JAN  7   03 44 12.6 38.1463 21.6130   15         2.5
 2018 JAN  7   04 05 13.5 35.1114 23.6710    6         4.0
 2018 JAN  7   04 10 05.2 35.1387 23.7245   11         2.1
 2018 JAN  7   04 13 51.3 35.6467 22.8013   20         2.1
 2018 JAN  7   04 27 15.2 40.1945 21.2580    8         1.5
 2018 JAN  7   04 28 22.0 35.5688 22.5012   25         2.4
 2018 JAN  7   04 56 37.5 38.0273 21.2173    9         1.7
 2018 JAN  7   06 05 57.1 38.2018 22.5943   10         1.8
 2018 JAN  7   06 11 07.3 38.4083 21.9122    8         1.6
 2018 JAN  7   06 15 45.1 35.6758 25.2956   12         2.0
 2018 JAN  7   06 36 17.3 39.6625 25.5393   11         2.3
 2018 JAN  7   08 49 55.0 39.2463 20.7558    9         1.7
 2018 JAN  7   08 56 11.4 38.9802 26.0860    9         1.9
 2018 JAN  7   09 18 39.6 40.3438 24.0610    9         1.4
 2018 JAN  7   11 16 45.6 38.3660 21.9580    9         1.8
 2018 JAN  7   11 56 58.4 38.1325 21.6528   19         1.8
 2018 JAN  7   12 04 43.5 40.5280 23.5152   14         1.1
 2018 JAN  7   12 09 59.2 36.2877 27.5573   12         2.4
 2018 JAN  7   12 32 12.6 41.1747 22.8780   11         2.4
 2018 JAN  7   12 43 21.7 34.8183 23.1432   14         3.3
 2018 JAN  7   13 14 18.6 36.1433 24.5145   27         1.8
 2018 JAN  7   13 55 05.7 39.7907 19.8083    9         1.9
 2018 JAN  7   13 56 18.8 38.4769 23.6728   24         1.4
 2018 JAN  7   13 56 26.9 36.5963 23.1063   22         2.0
 2018 JAN  7   14 15 30.6 34.8460 23.1917   15         2.6
 2018 JAN  7   14 32 39.2 40.5442 23.5248   11         1.3
 2018 JAN  7   15 03 12.5 38.1282 23.7745   15         1.0
 2018 JAN  7   15 12 30.0 38.7241 20.7559   14         1.0
 2018 JAN  7   16 37 59.5 38.7450 20.5968   11         1.5
 2018 JAN  7   16 55 58.4 37.1775 20.1930    7         3.7
 2018 JAN  7   17 15 46.6 38.1215 21.6453   22         1.5
 2018 JAN  7   17 24 27.9 40.3957 26.0620   10         1.1
 2018 JAN  7   17 31 21.0 38.2280 21.2695   11         1.6
 2018 JAN  7   17 41 39.7 40.0818 22.4158    8         1.6
 2018 JAN  7   18 06 34.2 38.2260 21.2680   26         1.9
 2018 JAN  7   18 22 55.4 38.2378 21.2627   19         2.1
 2018 JAN  7   19 05 44.1 38.4055 21.9791    6         1.3
 2018 JAN  7   19 07 13.1 38.3548 21.9882    8         1.3
 2018 JAN  7   19 53 26.0 40.3290 24.0553   10         2.0
 2018 JAN  7   20 27 49.3 37.8658 22.4767   18         1.2
 2018 JAN  7   21 27 16.4 39.7923 20.4798   10         1.4
 2018 JAN  7   21 29 41.8 40.3412 24.0542    8         1.7
 2018 JAN  7   21 34 00.0 40.3392 24.0515   10         2.2
 2018 JAN  7   22 20 31.7 38.1381 22.0541   11         1.0
 2018 JAN  7   22 48 30.8 39.9342 23.6535   11         1.6
 2018 JAN  7   22 57 09.6 41.1918 22.8820   10         2.7
 2018 JAN  7   23 10 04.6 38.9692 26.0980   12         1.2
 2018 JAN  8   00 26 50.9 40.4517 23.6460   17         1.5
 2018 JAN  8   01 22 35.0 38.1167 23.9137   16         1.3
 2018 JAN  8   01 32 55.2 35.8835 26.9868   16         1.7
 2018 JAN  8   01 42 06.4 38.9773 26.1005   14         1.4
 2018 JAN  8   04 10 05.6 34.8445 25.8156   16         2.2
 2018 JAN  8   07 45 12.9 38.6908 25.5148    6         2.4
 2018 JAN  8   08 14 27.6 38.8355 26.0357   14         3.3
 2018 JAN  8   08 42 42.8 35.9408 27.2585   16         2.2
 2018 JAN  8   11 00 24.2 38.8593 21.1825   21         2.2
 2018 JAN  8   12 27 50.4 40.2753 21.5848   10         1.9
 2018 JAN  8   13 25 51.5 39.5165 26.9115    6         3.3
 2018 JAN  8   14 43 24.5 37.3000 20.8190    8         2.1
 2018 JAN  8   16 00 37.9 38.1213 23.9115   12         2.4
 2018 JAN  8   19 45 37.1 38.7733 26.3933   12         2.8
 2018 JAN  8   19 52 12.5 35.0575 26.8872   12         2.8
 2018 JAN  8   21 00 38.9 41.4477 23.9022   10         1.9
 2018 JAN  8   21 17 22.0 38.0518 20.1753    9         1.9
 2018 JAN  8   21 47 55.3 38.4737 22.3595    9         2.1
 2018 JAN  8   22 03 15.0 38.0933 23.9435   17         1.3
 2018 JAN  8   22 22 58.2 38.8298 26.4693   12         2.3
 2018 JAN  8   22 55 16.8 38.3844 21.8756   11         3.5
 2018 JAN  8   23 11 28.1 38.1683 22.5934   27         1.2
 2018 JAN  8   23 45 21.8 38.1245 23.8868   16         1.3
 2018 JAN  8   23 55 38.0 38.0063 24.0115   14         1.5
 2018 JAN  8   23 59 59.7 38.3625 25.1697   16         2.1
 2018 JAN  9   00 29 54.4 38.1657 23.8393    8         1.8
 2018 JAN  9   00 55 06.1 38.1113 23.9102   18         1.4
 2018 JAN  9   00 58 15.8 38.1203 23.9131   16         1.1
 2018 JAN  9   01 03 06.3 38.1305 23.9000   14         2.3
 2018 JAN  9   01 33 58.0 38.1168 23.9277   12         2.3
 2018 JAN  9   01 46 18.3 38.1232 23.9235   14         2.2
 2018 JAN  9   01 47 19.6 38.1345 23.9528   13         2.9
 2018 JAN  9   01 56 57.5 38.9540 26.0993    8         1.8
 2018 JAN  9   02 03 25.9 35.6293 27.5010   15         2.4
 2018 JAN  9   02 07 08.1 38.1458 23.8933   12         1.7
 2018 JAN  9   02 11 51.6 39.8150 20.6005   15         1.0
 2018 JAN  9   02 14 15.9 38.1300 23.8825   16         1.0
 2018 JAN  9   02 14 21.4 35.1719 23.5414   14         2.3
 2018 JAN  9   02 15 41.8 38.1208 23.8863   18         1.7
 2018 JAN  9   02 20 49.9 38.1253 23.9047   15         1.6
 2018 JAN  9   02 27 06.9 36.9717 22.8891   17         2.4
 2018 JAN  9   02 51 50.7 40.3477 24.0653    9         1.1
 2018 JAN  9   03 03 24.0 34.5387 23.3800   12         1.5
 2018 JAN  9   03 03 49.3 40.3417 24.0473    9         1.4
 2018 JAN  9   03 10 43.3 38.1258 23.9131   16         2.0
 2018 JAN  9   03 15 55.9 38.2995 21.6317   26         1.0
 2018 JAN  9   03 17 25.5 37.3170 27.8428    7         2.3
 2018 JAN  9   03 30 16.1 38.1307 23.8878   13         1.8
 2018 JAN  9   03 32 07.3 34.0987 23.8005   24         2.4
 2018 JAN  9   03 42 18.1 38.1252 23.8838   13         2.4
 2018 JAN  9   03 44 34.0 38.1128 23.9285   12         2.6
 2018 JAN  9   03 54 26.6 38.1313 23.9186   15         2.6
 2018 JAN  9   03 58 58.3 38.1290 23.9032   14         1.7
 2018 JAN  9   04 17 10.1 38.3894 21.9420    3         1.6
 2018 JAN  9   04 33 44.8 38.1248 23.9057   14         2.2
 2018 JAN  9   05 12 43.5 38.1220 23.8953   18         1.7
 2018 JAN  9   05 55 30.2 36.6565 25.5413   12         2.1
 2018 JAN  9   06 00 31.0 40.0365 24.7213   10         1.6
 2018 JAN  9   06 36 00.6 39.9498 23.6372   13         2.2
 2018 JAN  9   06 47 25.2 38.1193 23.9092   17         2.0
 2018 JAN  9   06 54 54.2 38.1065 23.8988   18         1.8
 2018 JAN  9   06 58 32.0 39.3827 24.1157   15         1.9
 2018 JAN  9   07 49 17.0 38.1239 23.9259   16         1.7
 2018 JAN  9   07 59 35.5 38.1337 23.9198   12         2.9
 2018 JAN  9   08 42 29.7 39.7930 22.5798    8         1.5
 2018 JAN  9   08 59 09.4 35.0776 27.8252   10         3.1
 2018 JAN  9   09 24 57.9 37.8383 22.8246   12         1.9
 2018 JAN  9   10 04 10.3 38.9890 20.8688   17         1.7
 2018 JAN  9   10 06 43.8 37.8880 22.8440    6         2.1
 2018 JAN  9   11 08 29.3 37.2565 22.1539   10         2.2
 2018 JAN  9   15 07 21.3 38.1150 23.9150   19         2.0
 2018 JAN  9   16 10 35.2 38.1308 23.8915   17         1.5
 2018 JAN  9   16 21 06.8 40.3645 24.0452    8         1.5
 2018 JAN  9   16 35 28.3 38.3812 26.6527   23         3.0
 2018 JAN  9   16 49 40.7 38.1245 23.9170   13         2.8
 2018 JAN  9   17 05 58.4 38.3630 26.6833   14         2.1
 2018 JAN  9   18 01 56.0 35.0915 23.2798   12         2.1
 2018 JAN  9   18 26 58.7 38.6742 21.2638   21         1.9
 2018 JAN  9   18 44 35.0 38.4146 23.8596   28         1.2
 2018 JAN  9   18 45 07.7 38.1707 20.3558    8         2.0
 2018 JAN  9   18 56 55.3 39.8804 23.6499    9         2.2
